time,total,signal
210,1384.0013101042825,
211,1382.618000449006,
212,1386.5282299267126,
213,1389.2750108020712,
214,1383.1746205861068,
215,1385.1691149988944,
216,1378.2444491426809,
217,1370.8298472573047,
218,1363.17882134971,
219,1367.857144153883,
220,1367.857144153883,
221,1367.857144153883,
222,1367.857144153883,
223,1367.857144153883,
224,1366.489970596508,
225,1376.9498446378911,
226,1387.2221235420225,
227,1359.8768107262892,
228,1364.024752991285,
229,1364.024752991285,
230,1364.024752991285,
231,1362.6614099098344,
232,1370.6237599844724,
233,1378.0233009300864,
234,1385.3296298028972,
235,1390.3719776480425,
236,1390.3719776480425,
237,1390.3719776480425,
238,1390.3719776480425,
239,1390.3719776480425,
240,1388.982300508964,
241,1384.0479602175565,
242,1402.5041576069482,
243,1416.6254106140066,
244,1415.2094931621186,
245,1409.822629019724,
246,1423.5482112379518,
247,1418.2795999787118,
248,1412.9307103703622,
249,1452.3519002171688,
250,1452.3519002171688,
251,1450.9002741299955,
252,1465.272980837267,
253,1471.999261664169,
254,1469.2349219127736,
255,1470.5851331007539,
256,1465.6971894204225,
257,1466.2036384786516,
258,1458.0501270955774,
259,1438.140793922166,
260,1438.140793922166,
261,1436.7033718392854,
262,1428.322233765923,
263,1448.8353648083103,
264,1443.152151793003,
265,1441.6648207303572,
266,1442.207685491749,
267,1454.7175494679702,
268,1478.1188074801958,
269,1478.1188074801958,
270,1478.1188074801958,
271,1478.1188074801958,
272,1478.1188074801958,
273,1476.6414273627745,
274,1478.4531391483122,
275,1481.4714019828275,
276,1480.3824507119316,
277,1485.8641207835037,
278,1482.3802438381808,
279,1499.8967590760356,
280,1512.8229777834101,
281,1513.971978651304,
282,1516.3390832178868,
283,1515.427187054459,
284,1506.6305335966156,
285,1523.0457243817582,
286,1522.3146561862272,
287,1524.0282424858835,
288,1524.0282424858835,
289,1522.5049758767025,
290,1524.3408978471691,
291,1531.6743980591755,
292,1530.4312800681055,
293,1531.2836694322216,
294,1522.6507933567027,
295,1523.887246763028,
296,1524.613980597818,
297,1519.0529112736244,
298,1520.7122678700923,
299,1517.7468720460931,
300,1517.1676004898445,
301,1523.606069788306,
302,1528.1368368580167,
303,1525.4740420515748,
304,1531.095033595942,
305,1527.2911610492358,
306,1523.0522881280474,
307,1529.1845322409968,
308,1530.265503097489,
309,1541.139119861016,
310,1536.8072535198276,
311,1543.4855673468724,
312,1543.8369044495269,
313,1536.1661719087595,
314,1534.3496231117051,
315,1536.071956527678,
316,1532.2370963444237,
317,1554.7198454502725,
318,1553.6587676597965,
319,1558.950596720321,
320,1551.850953664155,
321,1551.7282773621844,
322,1555.2996675103225,
323,1553.7915309539783,
324,1561.5381436342425,
325,1559.9773858694907,
326,1552.1874799389589,
327,1549.7089317651723,
328,1555.5805546185416,
329,1566.5683034545834,
330,1570.080770684606,
331,1566.2537885120657,
332,1560.454832706605,
333,1574.6129446912773,
334,1571.9395604619365,
335,1581.5494777443546,
336,1591.355285867468,
337,1591.355285867468,
338,1591.355285867468,
339,1591.355285867468,
340,1591.355285867468,
341,1591.355285867468,
342,1591.355285867468,
343,1591.355285867468,
344,1591.355285867468,
345,1589.7647258616037,
346,1600.7851583949528,
347,1600.1753159952261,
348,1590.1255347533033,
349,1588.8649116002105,
350,1595.143688016789,
351,1592.2258199822925,
352,1591.601752357077,
353,1590.7452964957706,
354,1595.4885386223723,
355,1587.9626123748371,
356,1580.0802965263924,
357,1579.8525304141288,
358,1593.888385787785,
359,1588.0162277191916,
360,1599.113880712167,
361,1609.0784856983348,
362,1627.7848993738173,
363,1627.7848993738173,
364,1627.7848993738173,
365,1627.7848993738173,
366,1627.7848993738173,
367,1627.7848993738173,
368,1627.7848993738173,
369,1627.7848993738173,
370,1626.1579279601506,
371,1621.2982666918813,
372,1628.6360919568663,
373,1628.8990143648155,
374,1626.4705317616213,
375,1626.07677231121,
376,1634.2785111128874,
377,1638.8381407742993,
378,1639.0731834021165,
379,1630.9479840697427,
380,1638.0015737455124,
381,1647.51251267749,
382,1649.522959522829,
383,1645.3204980867458,
384,1645.7151572505065,
385,1653.2501417905823,
386,1646.6488347688687,
387,1649.5022120557323,
388,1636.925363245194,
389,1630.187873798523,
390,1623.7050252314061,
391,1631.8779931112847,
392,1628.3386111796826,
393,1650.4450921232408,
394,1640.7798110126757,
395,1639.8036241221334,
396,1645.1850753305716,
397,1616.2204873082414,
398,1625.0003088549317,
399,1629.0718470641502,
400,1626.4432794435606,
401,1626.9050375764652,
402,1645.6950746469156,
403,1659.9632759115075,
404,1659.9632759115075,
405,1659.9632759115075,
406,1659.9632759115075,
407,1659.9632759115075,
408,1659.9632759115075,
409,1659.9632759115075,
410,1659.9632759115075,
411,1659.9632759115075,
412,1659.9632759115075,
413,1659.9632759115075,
414,1659.9632759115075,
415,1659.9632759115075,
416,1659.9632759115075,
417,1659.9632759115075,
418,1659.9632759115075,
419,1659.9632759115075,
420,1659.9632759115075,
421,1659.9632759115075,
422,1659.9632759115075,
423,1659.9632759115075,
424,1659.9632759115075,
425,1659.9632759115075,
426,1659.9632759115075,
427,1658.304142202451,
428,1660.7817803533906,
429,1673.0932134710772,
430,1667.9488442379422,
431,1658.3487041262385,
432,1654.3690064819214,
433,1648.544026551712,
434,1643.0677483904708,
435,1625.3298271014514,
436,1628.9668470196295,
437,1627.6816785086507,
438,1639.2540749326322,
439,1647.6921277249185,
440,1647.6921277249185,
441,1647.6921277249185,
442,1647.6921277249185,
443,1647.6921277249185,
444,1647.6921277249185,
445,1647.6921277249185,
446,1647.6921277249185,
447,1647.6921277249185,
448,1647.6921277249185,
449,1646.0452590315401,
450,1657.4554286898638,
451,1669.203529060454,
452,1671.1889922434843,
453,1673.1432106915925,
454,1675.3123413617227,
455,1678.328568801952,
456,1671.8287404012303,
457,1653.535467831883,
458,1672.0557406388352,
459,1658.8856839987914,
460,1659.3766443023987,
461,1658.924753405531,
462,1667.468147342276,
463,1667.7056293656349,
464,1667.4567241317172,
465,1653.589510141702,
466,1643.4781961541232,
467,1648.528334738857,
468,1625.9476559422214,
469,1607.0897581826641,
470,1607.7826670479851,
471,1625.9084618650697,
472,1621.7229252414409,
473,1619.406169514984,
474,1617.787572643905,
475,1625.2393093191206,
476,1628.1121900821793,
477,1642.2196946016359,
478,1642.7611231438655,
479,1641.459784976321,
480,1642.3932334994495,
481,1639.8721611970923,
482,1647.2977725370192,
483,1649.5904088158777,
484,1647.9416427900749,
485,1657.7711033495166,
486,1658.1349188318131,
487,1660.409130865455,
488,1660.7011807388087,
489,1652.1392992217266,
490,1653.7973647560411,
491,1662.3500007879222,
492,1659.213002239903,
493,1663.2247637651997,
494,1662.6670435223623,
495,1662.0354419808095,
496,1666.5580413290782,
497,1666.53134400657,
498,1663.7485915454997,
499,1687.1473520601594,
500,1682.1127113874202,
501,1696.5185953782886,
502,1696.5185953782886,
503,1696.5185953782886,
504,1694.8229246182907,
505,1696.710506073699,
506,1703.0930491859565,
507,1702.1868713764982,
508,1700.3646266219557,
509,1704.5737585743927,
510,1705.3519809858656,
511,1712.2434495170874,
512,1735.5471220906688,
513,1744.2385384930005,
514,1748.9914752366444,
515,1766.291267715832,
516,1766.291267715832,
517,1764.525859152398,
518,1762.2128261235148,
519,1777.2719700597343,
520,1780.6219097989488,
521,1791.6407154694564,
522,1785.688350369494,
523,1774.9939986436473,
524,1766.930313193438,
525,1766.446377640149,
526,1753.8214945529164,
527,1752.0899858980551,
528,1759.9052788444028,
529,1750.1504841458707,
530,1748.401208299648,
531,1758.4730913541532,
532,1772.0697122289928,
533,1782.5985759261084,
534,1777.5473296539858,
535,1755.6466158196095,
536,1764.9831003761647,
537,1731.954400968408,
538,1727.8241785989874,
539,1732.3003958727525,
540,1745.326484784215,
541,1735.9515605695512,
542,1728.8224604490904,
543,1730.891261292729,
544,1730.9134663925054,
545,1740.918863294786,
546,1748.182844008277,
547,1730.6968692264807,
548,1738.738351937558,
549,1737.9534656023354,
550,1734.9502695791493,
551,1729.5667346986888,
552,1760.875102566731,
553,1757.3339209438036,
554,1762.1342441353383,
555,1752.688942257156,
556,1755.7869241010287,
557,1749.644511030658,
558,1751.2536206831796,
559,1733.9174159741901,
560,1743.9793367065672,
561,1759.732806159698,
562,1774.7318552545798,
563,1765.4330071771205,
564,1782.3435643919813,
565,1780.4724545407328,
566,1782.8553413464142,
567,1778.8546018100262,
568,1775.9017522852046,
569,1782.1370760621417,
570,1783.3579355447844,
571,1777.9939927201117,
572,1776.19056811597,
573,1771.1000367295344,
574,1770.934405387962,
575,1772.8068617903896,
576,1784.9616998216388,
577,1788.6048784892726,
578,1791.6112173844242,
579,1801.5255577115204,
580,1807.4504876123247,
581,1848.8285084611275,
582,1848.8285084611275,
583,1848.8285084611275,
584,1848.8285084611275,
585,1848.8285084611275,
586,1848.8285084611275,
587,1846.9806039049447,
588,1853.3226114475142,
589,1853.4108736519977,
590,1872.037770593729,
591,1874.5202150816824,
592,1873.2561347059086,
593,1893.9042660607233,
594,1893.9042660607233,
595,1893.9042660607233,
596,1892.0113082735563,
597,1896.145569182792,
598,1917.2648273156035,
599,1908.7377782600313,
600,1899.7514302856914,
601,1905.642677675511,
602,1906.288740563866,
603,1897.5000027859473,
604,1898.6520060931623,
605,1896.8347223732653,
606,1907.7881383714705,
607,1895.7100054610696,
608,1944.6465849283597,
609,1944.6465849283597,
610,1942.7029101808055,
611,1949.8948742796547,
612,1981.353926893001,
613,1990.0577707160692,
614,1990.0577707160692,
615,1990.0577707160692,
616,1990.0577707160692,
617,1990.0577707160692,
618,1988.0687074769728,
619,1990.7343956311781,
620,1999.2413821910134,
621,1999.9443197945172,
622,2007.9789518488471,
623,2023.482269541875,
624,2070.149093547791,
625,2068.0799790115116,
626,2072.4985703396537,
627,2081.677349417849,
628,2097.5716293598275,
629,2095.990631159376,
630,2082.4073692244006,
631,2085.277474898058,
632,2070.8433998192745,
633,2085.6252865778583,
634,2091.0969841168744,
635,2091.1798269115206,
636,2104.585816648018,
637,2108.88780863375,
638,2114.2974220165374,
639,2114.2974220165374,
640,2114.2974220165374,
641,2114.2974220165374,
642,2112.184181214922,
643,2135.5676811098297,
644,2130.340918499104,
645,2105.105915708342,
646,2099.7396304910408,
647,2099.7396304910408,
648,2099.7396304910408,
649,2099.7396304910408,
650,2097.6409402056925,
651,2110.35793904748,
652,2117.2088713570115,
653,2104.2005576986107,
654,2095.6779940770407,
655,2105.260874216692,
656,2089.2056312941954,
657,2115.6610236125225,
658,2114.524177977419,
659,2122.464169531225,
660,2118.149573877934,
661,2122.641590429972,
662,2131.2197933545976,
663,2114.8896319417368,
664,2116.246072988911,
665,2129.9345896447594,
666,2131.3908638324174,
667,2138.5203664710416,
668,2155.3698955217415,
669,2155.3698955217415,
670,2155.3698955217415,
671,2155.3698955217415,
672,2155.3698955217415,
673,2155.3698955217415,
674,2155.3698955217415,
675,2155.3698955217415,
676,2155.3698955217415,
677,2155.3698955217415,
678,2153.2156027725946,
679,2151.9392552839954,
680,2200.675421902658,
681,2201.6630716925547,
682,2225.3656249406445,
683,2225.3656249406445,
684,2225.3656249406445,
685,2225.3656249406445,
686,2225.3656249406445,
687,2225.3656249406445,
688,2223.141371442453,
689,2223.882374909368,
690,2226.6237441289877,
691,2252.415928765662,
692,2249.8816161921704,
693,2262.5022439315717,
694,2257.974188378622,
695,2269.294621967048,
696,2267.026461425352,
697,2270.103031456163,
698,2281.4563872595368,
699,2280.289823469634,
700,2268.3123942071124,
701,2262.7250014580236,
702,2269.407754429976,
703,2327.0955619732827,
704,2324.7696293776075,
705,2342.1594460313836,
706,2372.079906108757,
707,2368.202887065035,
708,2387.6593445691983,
709,2380.900018452313,
710,2396.392119169272,
711,2448.12679774058,
712,2448.12679774058,
713,2445.6798943945128,
714,2454.265568366712,
715,2467.3739661762643,
716,2451.596217163437,
717,2471.532682453541,
718,2484.2077217637097,
719,2497.3130427872734,
720,2497.3130427872734,
721,2494.8169777769917,
722,2497.7391553468988,
723,2496.6048702455882,
724,2539.903667905181,
725,2534.304299732977,
726,2530.9553308090153,
727,2528.5447218161253,
728,2521.5248010695955,
729,2510.2515575087255,
730,2517.210257978496,
731,2537.3736019868406,
732,2552.5458034873955,
733,2546.094712810513,
734,2556.1539251441786,
735,2553.5990486572787,
736,2555.4522424966276,
737,2563.8731115702617,
738,2571.392547322054,
739,2553.574498701765,
740,2556.7479890942764,
741,2571.8601573846504,
742,2585.3807723509626,
743,2575.1790421337955,
744,2560.952796932778,
745,2585.8856792259094,
746,2569.536500342863,
747,2557.856496115144,
748,2576.6189360365806,
749,2547.670276379267,
750,2553.524374012099,
751,2473.1142513564014,
752,2496.511154261041,
753,2528.1032801737356,
754,2500.763992671831,
755,2462.2179311740065,
756,2462.1634137396895,
757,2456.393624921307,
758,2458.5285897966014,
759,2454.810073138051,
760,2424.465007568726,
761,2453.537995013604,
762,2461.7107491816455,
763,2472.104282199734,
764,2494.6197267770544,
765,2503.6608961138277,
766,2510.4402972427565,
767,2504.204057498462,
768,2500.8879330732816,
769,2518.2982953479386,
770,2511.8875139903107,
771,2511.532622945247,
772,2511.532622945247,
773,2511.532622945247,
774,2511.532622945247,
775,2511.532622945247,
776,2511.532622945247,
777,2509.0223454610446,
778,2474.520083337252,
779,2466.9638315972716,
780,2481.24085474276,
781,2455.3480463868827,
782,2449.491610649861,
783,2472.6391698757766,
784,2474.0241702040203,
785,2498.6764145903294,
786,2496.17898688959,
787,2516.9897953238155,
788,2521.6793710931033,
789,2498.768246439576,
790,2487.643355839301,
791,2487.643355839301,
792,2485.1569556835398,
793,2484.8157568138663,
794,2502.6072427724016,
795,2498.1168599498374,
796,2469.209381616617,
797,2469.209381616617,
798,2469.209381616617,
799,2469.209381616617,
800,2469.209381616617,
801,2469.209381616617,
802,2469.209381616617,
803,2469.209381616617,
804,2466.7414062226976,
805,2468.8003933408336,
806,2475.4892704381014,
807,2481.4576093213323,
808,2469.209828580157,
809,2480.322970793319,
810,2477.1877230723185,
811,2472.3742370505524,
812,2466.8056111443993,
813,2482.276415949347,
814,2493.615344110547,
815,2512.1591977788075,
816,2503.5026859767877,
817,2496.7852743445756,
818,2502.274587974355,
819,2540.5428906173706,
820,2544.185815689631,
821,2555.9012062973507,
822,2555.9012062973507,
823,2555.9012062973507,
824,2553.3465824030013,
825,2561.1057395451753,
826,2566.993975423003,
827,2542.005300747398,
828,2544.0622585952465,
829,2544.0622585952465,
830,2541.519467732083,
831,2546.4417905091705,
832,2552.194506830854,
833,2578.035545046003,
834,2549.51611121592,
835,2544.639229806305,
836,2507.624075249271,
837,2464.285313970887,
838,2461.8368528050532,
839,2461.8368528050532,
840,2461.8368528050532,
841,2459.3762462555233,
842,2463.0580259271233,
843,2462.450973810881,
844,2481.7641258153767,
845,2465.3021125661007,
846,2473.1638581459665,
847,2509.0496218484923,
848,2506.541826124506,
849,2533.5557297060022,
850,2540.5454549277542,
851,2527.8808578137246,
852,2541.255757920757,
853,2552.520677739114,
854,2546.6796350970553,
855,2535.154723181304,
856,2546.8085947588265,
857,2538.895677026478,
858,2521.655845519967,
859,2538.028774948083,
860,2510.987587348048,
861,2505.768418843353,
862,2466.988717107755,
863,2475.0999713947276,
864,2473.1214446984745,
865,2479.3087937863093,
866,2474.9664766104247,
867,2489.777511292251,
868,2504.366752449446,
869,2505.4229902094894,
870,2519.5944795003543,
871,2516.3842285136557,
872,2509.271658786558,
873,2450.154338056396,
874,2449.5688708918324,
875,2421.52007408595,
876,2446.678637914992,
877,2423.4759657265795,
878,2421.526810934168,
879,2429.9621769406453,
880,2426.399703857066,
881,2414.8904111137667,
882,2383.028560739873,
883,2400.3874325711145,
884,2401.824993193816,
885,2418.496060992088,
886,2421.2653608047935,
887,2436.9644386771847,
888,2445.7739386457442,
889,2445.4393415784316,
890,2446.42272141826,
891,2478.075209429055,
892,2465.8141853850602,
893,2465.8141853850602,
894,2465.8141853850602,
895,2465.8141853850602,
896,2463.3496034906225,
897,2509.550765054456,
898,2532.8093165594732,
899,2560.3188196388646,
900,2584.9767133380597,
901,2582.393028467157,
902,2613.8923268171907,
903,2620.60168482136,
904,2613.0109848132647,
905,2627.7525424772557,
906,2607.1909006314077,
907,2601.62894551101,
908,2605.856019176709,
909,2581.8408888323943,
910,2583.4618682738624,
911,2584.562982481315,
912,2596.164426738097,
913,2590.1499088868336,
914,2592.6644948012645,
915,2578.5574383561875,
916,2572.782521021634,
917,2577.756414334653,
918,2577.756414334653,
919,2575.1799461544088,
920,2584.41694257331,
921,2590.3818849947793,
922,2570.849493619795,
923,2558.419388991409,
924,2571.8070124935034,
