ts,datetime_utc,close,ema,rsi,atr,obv,label
1726534800,2024-09-17 01:00:00,2274.6578897347213,2287.7645275349228,39.55,18.83100160431857,-1639681439.384321,2284.8084507644826
1726538400,2024-09-17 02:00:00,2286.303757198122,2287.569758156683,44.37,18.438443808158425,-1638235491.268141,2288.0542463699453
1726542000,2024-09-17 03:00:00,2284.8084507644826,2287.201583837723,43.89,17.439768633447493,-1638809561.031125,2302.5767022666773
1726545600,2024-09-17 04:00:00,2288.0542463699453,2287.3152721753527,45.28,16.647596451052863,-1638374995.894391,2300.457420069066
1726549200,2024-09-17 05:00:00,2302.5767022666773,2289.3501295208625,51.14,16.673372434395215,-1637166790.131586,2310.037060404806
1726552800,2024-09-17 06:00:00,2300.457420069066,2290.831101593956,50.29,15.886141629440045,-1638169830.2662392,2309.3823755964713
1726556400,2024-09-17 07:00:00,2310.037060404806,2293.3918961020695,54,15.690752207195738,-1637002386.290332,2314.8008130942817
1726560000,2024-09-17 08:00:00,2309.3823755964713,2295.5239600346563,53.7,15.09735275232635,-1638917673.8456411,2316.643376321911
1726563600,2024-09-17 09:00:00,2314.8008130942817,2298.094207109273,55.85,15.12947900051801,-1636482138.8836281,2309.3216370387763
1726567200,2024-09-17 10:00:00,2316.643376321911,2300.567429670958,56.59,14.650818276230163,-1634220785.779458,2319.406579694895
1726570800,2024-09-17 11:00:00,2309.3216370387763,2301.7346573200007,52.81,14.64875163705269,-1635888983.680681,2306.8883752652123
1726574400,2024-09-17 12:00:00,2319.406579694895,2304.090913636653,57.06,14.511287780031802,-1633896798.140475,2345.633821716918
1726578000,2024-09-17 13:00:00,2306.8883752652123,2304.463908520461,50.93,15.198597913228122,-1639253584.523876,2383.6405103244174
1726581600,2024-09-17 14:00:00,2345.633821716918,2309.9532302799885,63.87,18.13961485716305,-1628262507.696204,2368.721784923236
1726585200,2024-09-17 15:00:00,2383.6405103244174,2319.778200952579,71.74,20.219913216488084,-1618691589.335046,2366.7049337150556
1726588800,2024-09-17 16:00:00,2368.721784923236,2326.3040121486665,65.69,20.638083923182162,-1626138195.963181,2350.6051076743315
1726592400,2024-09-17 17:00:00,2366.7049337150556,2331.690801690852,64.89,20.048549561783915,-1630427402.643209,2352.514785770624
1726596000,2024-09-17 18:00:00,2350.6051076743315,2334.2127091553157,58.77,20.700750338404237,-1634921221.742629,2344.7167014792008
1726599600,2024-09-17 19:00:00,2352.514785770624,2336.6529860373566,59.26,21.176141267316392,-1628672298.7683861,2348.378037886007
1726603200,2024-09-17 20:00:00,2344.7167014792008,2337.7281480962693,56.31,20.833857357262133,-1633421882.3869011,2339.047451101507
1726606800,2024-09-17 21:00:00,2348.378037886007,2339.1481334015675,57.38,19.83106647228417,-1631890104.674421,2341.716933260901
1726610400,2024-09-17 22:00:00,2339.047451101507,2339.134709094893,53.76,19.31712002663575,-1633562297.3333712,2323.9813280498843
1726614000,2024-09-17 23:00:00,2341.716933260901,2339.4790056503607,54.64,18.716081016750834,-1632301146.026848,2324.667026323375
1726617600,2024-09-18 00:00:00,2323.9813280498843,2337.4126486369637,48.08,19.498881020603164,-1636337607.333532,2332.737938963353
1726621200,2024-09-18 01:00:00,2324.667026323375,2335.713232328485,48.33,19.140110425146577,-1632507748.1980462,2335.636364014662
1726624800,2024-09-18 02:00:00,2332.737938963353,2335.3165265464672,51.4,18.389648145563466,-1630967775.2548072,2322.8747419636966
1726628400,2024-09-18 03:00:00,2335.636364014662,2335.3591715422267,52.49,17.712066424308432,-1629311616.5733483,2320.8882502828556
1726632000,2024-09-18 04:00:00,2322.8747419636966,2333.694580931756,47.44,17.593429764020716,-1630930038.1797383,2328.2652727090845
1726635600,2024-09-18 05:00:00,2320.8882502828556,2331.987070178569,46.69,16.976995546671326,-1632211143.9361753,2331.3081170879077
1726639200,2024-09-18 06:00:00,2328.2652727090845,2331.490830515971,49.87,16.29600238370773,-1630648359.2442873,2321.217619460186
1726642800,2024-09-18 07:00:00,2331.3081170879077,2331.4664687255627,51.16,15.535793752753554,-1629569886.1850584,2295.707817831425
1726646400,2024-09-18 08:00:00,2321.217619460186,2330.099955490179,46.85,15.288105214335443,-1631215610.4676404,2305.4511647290774
1726650000,2024-09-18 09:00:00,2295.707817831425,2325.5143371356785,38.09,16.03027169848008,-1634545156.1326723,2301.069691587366
1726653600,2024-09-18 10:00:00,2305.4511647290774,2322.839247481465,42.51,17.03244376717423,-1630050609.0104494,2311.8375807938933
1726657200,2024-09-18 11:00:00,2301.069691587366,2319.9366400289186,41.09,16.38270272411809,-1631009114.0372283,2295.559233707993
1726660800,2024-09-18 12:00:00,2311.8375807938933,2318.8567654642484,45.88,16.338719290875204,-1629134511.0167112,2298.066005715819
1726664400,2024-09-18 13:00:00,2295.559233707993,2315.7504278967476,40.52,17.21596395311477,-1633397506.0723813,2296.776672142116
1726668000,2024-09-18 14:00:00,2298.066005715819,2313.3925049392906,41.65,17.158097172345222,-1628544890.4403973,2305.47052457761
1726671600,2024-09-18 15:00:00,2296.776672142116,2311.177060566334,41.21,17.344879211111934,-1632969933.4042683,2309.0930669358113
1726675200,2024-09-18 16:00:00,2305.47052457761,2310.416189101171,45.35,17.344194929701594,-1628341200.6091292,2336.8417780400077
1726678800,2024-09-18 17:00:00,2309.0930669358113,2310.239772812456,47.02,17.877697620823696,-1623771622.9828782,2315.333560336326
1726682400,2024-09-18 18:00:00,2336.8417780400077,2313.7867068427963,57.7,20.719170526463408,-1590472674.7843623,2326.3884418531143
